region,ym,d,minTemp,maxTemp,weather
강원,200301,21,-4.0,4.0,맑음
강원,200301,22,-1.0,0.0,흐림/눈
강원,200301,23,-4.0,1.0,구름많음/눈
강원,200301,24,-4.0,3.0,맑음
강원,200301,25,-4.0,7.0,구름조금
강원,200301,26,-4.0,3.0,구름많음
강원,200301,27,-4.0,5.0,구름많음/안개/진눈개비
강원,200301,28,-10.0,-1.0,맑음
강원,200301,29,-14.0,-6.0,맑음
강원,200301,30,-10.0,3.0,맑음
강원,200301,31,-4.0,3.0,구름조금
강원,200302,1,-5.0,4.0,구름조금
강원,200302,2,-3.0,4.0,구름조금
강원,200302,3,-3.0,4.0,구름조금
강원,200302,4,-1.0,4.0,구름많음
강원,200302,5,-3.0,2.0,구름많음/눈
강원,200302,6,-3.0,9.0,맑음
강원,200302,7,2.0,8.0,구름조금
강원,200302,8,1.0,6.0,흐림/진눈개비
강원,200302,9,-1.0,12.0,구름조금
강원,200302,10,1.0,7.0,흐림/진눈개비
강원,200302,11,-2.0,2.0,흐림/진눈개비
강원,200302,12,-5.0,2.0,맑음
강원,200302,13,-3.0,6.0,맑음
강원,200302,14,1.0,8.0,맑음
강원,200302,15,2.0,10.0,구름많음
강원,200302,16,0.0,8.0,맑음
강원,200302,17,-1.0,11.0,구름조금
강원,200302,18,-1.0,7.0,구름많음/안개
강원,200302,19,1.0,5.0,흐림/안개/진눈개비
강원,200302,20,-1.0,5.0,구름조금/눈
강원,200302,21,-2.0,8.0,구름많음/비
강원,200302,22,1.0,5.0,흐림/진눈개비
강원,200302,23,1.0,3.0,흐림/진눈개비
강원,200302,24,0.0,5.0,흐림/눈
강원,200302,25,0.0,8.0,구름많음/안개
강원,200302,26,3.0,12.0,구름많음/안개/비
강원,200302,27,1.0,4.0,흐림/안개/진눈개비
강원,200302,28,-1.0,11.0,구름조금
강원,200303,1,3.0,10.0,구름많음/비
강원,200303,2,4.0,14.0,구름조금
강원,200303,3,-4.0,7.0,흐림/눈
강원,200303,4,-6.0,2.0,구름조금
강원,200303,5,-4.0,6.0,구름많음
강원,200303,6,0.0,3.0,흐림/진눈개비
강원,200303,7,1.0,4.0,흐림/진눈개비
강원,200303,8,-1.0,5.0,구름많음
강원,200303,9,0.0,4.0,흐림/비
